stationSlug	stationName	programId	title	sequenceIndex	estimatedStartOffsetSeconds	durationSeconds	audioUrl	streamUrl	rightsStatus	releaseAllowed
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-2859728c-7217-4382-bc09-22ad41ee0de0	बंसी की तान	70	15737	479	/radio-html/assets/audio/2859728c-7217-4382-bc09-22ad41ee0de0.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-9f8b0cb8-2b2d-47cb-8906-259a2f1e6144	महाराणा क़फ़िया	71	16216	228	/radio-html/assets/audio/9f8b0cb8-2b2d-47cb-8906-259a2f1e6144.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-4cacd011-00d8-408e-97ef-d7bfb366b23e	महाराणा क़फ़िया	72	16444	212	/radio-html/assets/audio/4cacd011-00d8-408e-97ef-d7bfb366b23e.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-45ebedf4-7d51-4716-a12b-764243daad4a	Din Mein Sarpanch	73	16656	37	/radio-html/assets/audio/45ebedf4-7d51-4716-a12b-764243daad4a.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-c8598710-c924-4b3c-8e32-0a1fded87efb	Din Mein Sarpanch	74	16693	30	/radio-html/assets/audio/c8598710-c924-4b3c-8e32-0a1fded87efb.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-b56bd6df-5167-43b3-b0a6-cf5f42c72589	मेट्रो दरवाज़े बंद x Animatrix लोडिंग (Mashup)	75	16723	226	/radio-html/assets/audio/b56bd6df-5167-43b3-b0a6-cf5f42c72589.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-d0569990-a19a-4e68-b82b-1db44b271e2a	मेट्रो दरवाज़े बंद x Animatrix लोडिंग (Mashup)	76	16949	242	/radio-html/assets/audio/d0569990-a19a-4e68-b82b-1db44b271e2a.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-803ae36b-ad83-4a45-9256-606bf42e2514	मेट्रो दरवाज़े बंद	77	17191	278	/radio-html/assets/audio/803ae36b-ad83-4a45-9256-606bf42e2514.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-e48f5522-c4e9-43c9-8080-e6a097fa596c	मेट्रो दरवाज़े बंद	78	17469	274	/radio-html/assets/audio/e48f5522-c4e9-43c9-8080-e6a097fa596c.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-40bc367c-0e8b-4773-800e-f68e8cf45f1e	Animatrix Loading	79	17743	252	/radio-html/assets/audio/40bc367c-0e8b-4773-800e-f68e8cf45f1e.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-e4126f4b-d140-4061-9c2f-294733f12904	Animatrix Loading	80	17995	265	/radio-html/assets/audio/e4126f4b-d140-4061-9c2f-294733f12904.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-47ed762a-d69b-40e3-8c6b-9feee3c9bd95	Animatrix लोड	81	18260	286	/radio-html/assets/audio/47ed762a-d69b-40e3-8c6b-9feee3c9bd95.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-9aa4b117-b9b0-46de-9c7d-4e16fadb5159	Animatrix लोड	82	18546	268	/radio-html/assets/audio/9aa4b117-b9b0-46de-9c7d-4e16fadb5159.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-ad88ec20-844d-47ac-ae8e-5634a628daee	धरती का नून	83	18814	319	/radio-html/assets/audio/ad88ec20-844d-47ac-ae8e-5634a628daee.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-a5469ce5-e8c0-40f9-86c7-934fe766e66a	धरती का नून	84	19133	357	/radio-html/assets/audio/a5469ce5-e8c0-40f9-86c7-934fe766e66a.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-a1faf499-0ae9-40d2-ac91-2d8e83b55f0c	Animatrix लोडिंग	85	19490	291	/radio-html/assets/audio/a1faf499-0ae9-40d2-ac91-2d8e83b55f0c.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-c2da4a42-4081-4f8b-bcce-99e67d38740e	Animatrix लोडिंग	86	19781	284	/radio-html/assets/audio/c2da4a42-4081-4f8b-bcce-99e67d38740e.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-b3e24cb5-dd86-475b-b84c-00356ec425f6	Animatrix Loading	87	20065	301	/radio-html/assets/audio/b3e24cb5-dd86-475b-b84c-00356ec425f6.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-12168a29-23fd-464a-8f32-b552fd6e4571	Animatrix Loading	88	20366	279	/radio-html/assets/audio/12168a29-23fd-464a-8f32-b552fd6e4571.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-eba6ef4c-4673-47d3-a972-ec071def7fc1	मेट्रो डिब्बा मोबाइल	89	20645	256	/radio-html/assets/audio/eba6ef4c-4673-47d3-a972-ec071def7fc1.mp3	NULL	NULL	false
